Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,property_Area_Rural,property_Area_Semiurban,property_Area_Urban,Gender_Female,Gender_Male,Total_Income,Loan_Income_Ratio,EMI,Balance_Income
0.0,0.0,0.0,0.0,5849.0,0.0,128.0,360.0,1.0,1,0,1,0,0,1,5849.0,0.021884082749187895,0.35555555555555557,5848.644444444444
1.0,1.0,0.0,0.0,3806.0,1508.0,128.0,360.0,1.0,0,0,0,1,0,1,5314.0,0.024087316522393678,0.35555555555555557,5313.644444444444
1.0,0.0,0.0,1.0,3000.0,0.0,66.0,360.0,1.0,1,0,1,0,0,1,3000.0,0.022,0.18333333333333332,2999.8166666666666
1.0,0.0,1.0,0.0,2583.0,2358.0,120.0,360.0,1.0,1,0,1,0,0,1,4941.0,0.024286581663630843,0.3333333333333333,4940.666666666667
0.0,0.0,0.0,0.0,6000.0,0.0,141.0,360.0,1.0,1,0,1,0,0,1,6000.0,0.0235,0.39166666666666666,5999.608333333334
1.0,2.0,0.0,1.0,5417.0,4196.0,261.5,360.0,1.0,1,0,1,0,0,1,9613.0,0.027202746281077706,0.7263888888888889,9612.273611111112
1.0,0.0,1.0,0.0,2333.0,1516.0,95.0,360.0,1.0,1,0,1,0,0,1,3849.0,0.024681735515718367,0.2638888888888889,3848.7361111111113
1.0,3.0,0.0,0.0,3036.0,2504.0,158.0,360.0,0.0,0,1,0,0,0,1,5540.0,0.02851985559566787,0.4388888888888889,5539.561111111111
1.0,2.0,0.0,0.0,4006.0,1526.0,168.0,360.0,1.0,1,0,1,0,0,1,5532.0,0.03036876355748373,0.4666666666666667,5531.533333333334
1.0,1.0,0.0,0.0,10171.25,5743.125,261.5,360.0,1.0,0,1,0,0,0,1,15914.375,0.016431685190276088,0.7263888888888889,15913.648611111112
1.0,2.0,0.0,0.0,3200.0,700.0,70.0,360.0,1.0,1,0,1,0,0,1,3900.0,0.017948717948717947,0.19444444444444445,3899.8055555555557
1.0,2.0,0.0,0.0,2500.0,1167.0,109.0,360.0,1.0,1,0,1,0,0,1,3667.0,0.029724570493591493,0.30277777777777776,3666.697222222222
1.0,2.0,0.0,0.0,3073.0,5743.125,200.0,360.0,1.0,1,0,1,0,0,1,8816.125,0.022685703753066114,0.5555555555555556,8815.569444444445
0.0,0.0,0.0,0.0,1853.0,2840.0,114.0,360.0,1.0,0,0,0,1,0,1,4693.0,0.024291497975708502,0.31666666666666665,4692.683333333333
1.0,2.0,0.0,0.0,1299.0,1086.0,17.0,360.0,1.0,1,0,1,0,0,1,2385.0,0.007127882599580713,0.04722222222222222,2384.9527777777776
0.0,0.0,0.0,0.0,3806.0,0.0,125.0,360.0,1.0,1,0,1,0,0,1,3806.0,0.032842879663688915,0.3472222222222222,3805.652777777778
0.0,1.0,1.0,0.0,3596.0,0.0,100.0,360.0,1.0,1,0,1,0,0,1,3596.0,0.027808676307007785,0.2777777777777778,3595.722222222222
0.0,0.0,0.0,0.0,3510.0,0.0,76.0,360.0,0.0,0,0,1,0,1,0,3510.0,0.021652421652421653,0.2111111111111111,3509.788888888889
1.0,0.0,1.0,0.0,4887.0,0.0,133.0,360.0,1.0,0,0,0,1,0,1,4887.0,0.027215060364231634,0.36944444444444446,4886.6305555555555
1.0,0.0,0.0,0.0,2600.0,3500.0,115.0,360.0,1.0,1,0,1,0,0,1,6100.0,0.018852459016393444,0.3194444444444444,6099.680555555556
1.0,0.0,1.0,0.0,7660.0,0.0,104.0,360.0,0.0,0,0,1,0,0,1,7660.0,0.013577023498694517,0.28888888888888886,7659.711111111111
1.0,1.0,0.0,0.0,5955.0,5625.0,261.5,360.0,1.0,1,0,1,0,0,1,11580.0,0.02258203799654577,0.7263888888888889,11579.273611111112
1.0,0.0,1.0,0.0,2600.0,1911.0,116.0,360.0,0.0,0,1,0,0,0,1,4511.0,0.025714919086677012,0.32222222222222224,4510.677777777778
1.0,2.0,1.0,0.0,3365.0,1917.0,112.0,360.0,0.0,0,0,0,1,0,1,5282.0,0.021204089360090876,0.3111111111111111,5281.688888888889
1.0,1.0,0.0,0.0,3717.0,2925.0,151.0,360.0,1.0,0,1,0,0,0,1,6642.0,0.02273411623005119,0.41944444444444445,6641.580555555555
1.0,0.0,0.0,1.0,9560.0,0.0,191.0,360.0,1.0,1,1,0,0,0,1,9560.0,0.01997907949790795,0.5305555555555556,9559.469444444445
1.0,0.0,0.0,0.0,2799.0,2253.0,122.0,360.0,1.0,1,1,0,0,0,1,5052.0,0.02414885193982581,0.3388888888888889,5051.6611111111115
1.0,2.0,1.0,0.0,4226.0,1040.0,110.0,360.0,1.0,1,0,1,0,0,1,5266.0,0.020888720091150777,0.3055555555555556,5265.694444444444
0.0,0.0,1.0,0.0,1442.0,0.0,35.0,360.0,1.0,0,0,1,0,0,1,1442.0,0.024271844660194174,0.09722222222222222,1441.9027777777778
0.0,2.0,0.0,0.0,3750.0,2083.0,120.0,360.0,1.0,1,1,0,0,1,0,5833.0,0.020572604148808505,0.3333333333333333,5832.666666666667
1.0,1.0,0.0,0.0,4166.0,3369.0,201.0,360.0,1.0,0,0,1,0,0,1,7535.0,0.026675514266755143,0.5583333333333333,7534.441666666667
0.0,0.0,0.0,0.0,3167.0,0.0,74.0,360.0,1.0,0,0,1,0,0,1,3167.0,0.023365961477739186,0.20555555555555555,3166.7944444444443
0.0,1.0,0.0,1.0,4692.0,0.0,106.0,360.0,1.0,0,0,0,1,0,1,4692.0,0.022591645353793693,0.29444444444444445,4691.705555555555
1.0,0.0,0.0,0.0,3500.0,1667.0,114.0,360.0,1.0,1,1,0,0,0,1,5167.0,0.022063092703696534,0.31666666666666665,5166.683333333333
0.0,3.0,0.0,0.0,10171.25,3000.0,261.5,360.0,1.0,0,0,0,1,0,1,13171.25,0.019853848343930912,0.7263888888888889,13170.523611111112
1.0,0.0,0.0,0.0,2275.0,2067.0,128.0,360.0,1.0,1,0,1,0,0,1,4342.0,0.02947950253339475,0.35555555555555557,4341.644444444444
1.0,0.0,0.0,0.0,1828.0,1330.0,100.0,360.0,0.0,0,0,1,0,0,1,3158.0,0.031665611146295125,0.2777777777777778,3157.722222222222
1.0,0.0,0.0,0.0,3667.0,1459.0,144.0,360.0,1.0,1,1,0,0,1,0,5126.0,0.02809207959422552,0.4,5125.6
0.0,0.0,0.0,0.0,4166.0,5743.125,184.0,360.0,1.0,1,0,1,0,0,1,9909.125,0.018568743456157836,0.5111111111111111,9908.613888888889
0.0,0.0,1.0,0.0,3748.0,1668.0,110.0,360.0,1.0,1,1,0,0,0,1,5416.0,0.02031019202363368,0.3055555555555556,5415.694444444444
0.0,0.0,0.0,0.0,3600.0,0.0,80.0,360.0,1.0,0,0,1,0,0,1,3600.0,0.022222222222222223,0.2222222222222222,3599.777777777778
0.0,0.0,0.0,0.0,1800.0,1213.0,47.0,360.0,1.0,1,0,1,0,0,1,3013.0,0.015599070693660804,0.13055555555555556,3012.8694444444445
1.0,0.0,0.0,0.0,2400.0,0.0,75.0,360.0,1.0,1,0,1,0,0,1,2400.0,0.03125,0.20833333333333334,2399.7916666666665
1.0,0.0,0.0,0.0,3941.0,2336.0,134.0,360.0,1.0,1,1,0,0,0,1,6277.0,0.021347777600764697,0.37222222222222223,6276.627777777778
1.0,0.0,1.0,1.0,4695.0,0.0,96.0,360.0,1.0,1,0,1,0,0,1,4695.0,0.020447284345047924,0.26666666666666666,4694.733333333334
0.0,0.0,0.0,0.0,3410.0,0.0,88.0,360.0,1.0,1,0,1,0,1,0,3410.0,0.025806451612903226,0.24444444444444444,3409.7555555555555
1.0,1.0,0.0,0.0,5649.0,0.0,44.0,360.0,1.0,1,0,1,0,0,1,5649.0,0.007788989201628607,0.12222222222222222,5648.877777777778
1.0,0.0,0.0,0.0,5821.0,0.0,144.0,360.0,1.0,1,0,1,0,0,1,5821.0,0.02473801752276241,0.4,5820.6
1.0,0.0,0.0,0.0,2645.0,3440.0,120.0,360.0,0.0,0,0,1,0,1,0,6085.0,0.01972062448644207,0.3333333333333333,6084.666666666667
0.0,0.0,0.0,0.0,4000.0,2275.0,144.0,360.0,1.0,1,1,0,0,1,0,6275.0,0.022948207171314742,0.4,6274.6
1.0,0.0,1.0,0.0,1928.0,1644.0,100.0,360.0,1.0,1,1,0,0,1,0,3572.0,0.027995520716685332,0.2777777777777778,3571.722222222222
0.0,0.0,0.0,0.0,3086.0,0.0,120.0,360.0,1.0,1,1,0,0,1,0,3086.0,0.03888528839922229,0.3333333333333333,3085.6666666666665
0.0,0.0,0.0,0.0,4230.0,0.0,112.0,360.0,1.0,0,1,0,0,1,0,4230.0,0.026477541371158392,0.3111111111111111,4229.688888888889
1.0,2.0,0.0,0.0,4616.0,0.0,134.0,360.0,1.0,0,0,1,0,0,1,4616.0,0.02902946273830156,0.37222222222222223,4615.627777777778
1.0,1.0,0.0,1.0,10171.25,0.0,261.5,360.0,0.0,0,0,1,0,1,0,10171.25,0.025709721027405676,0.7263888888888889,10170.523611111112
1.0,2.0,0.0,0.0,2708.0,1167.0,97.0,360.0,1.0,1,1,0,0,0,1,3875.0,0.02503225806451613,0.26944444444444443,3874.7305555555554
1.0,0.0,0.0,0.0,2132.0,1591.0,96.0,360.0,1.0,1,1,0,0,0,1,3723.0,0.0257856567284448,0.26666666666666666,3722.733333333333
1.0,0.0,0.0,0.0,3366.0,2200.0,135.0,360.0,1.0,0,0,0,1,0,1,5566.0,0.024254401724757457,0.375,5565.625
1.0,1.0,0.0,0.0,8080.0,2250.0,180.0,360.0,1.0,1,0,1,0,0,1,10330.0,0.017424975798644726,0.5,10329.5
1.0,2.0,1.0,0.0,3357.0,2859.0,144.0,360.0,1.0,1,0,1,0,0,1,6216.0,0.023166023166023165,0.4,6215.6
1.0,0.0,0.0,0.0,2500.0,3796.0,120.0,360.0,1.0,1,0,1,0,0,1,6296.0,0.01905972045743329,0.3333333333333333,6295.666666666667
1.0,3.0,0.0,0.0,3029.0,0.0,99.0,360.0,1.0,1,0,1,0,0,1,3029.0,0.03268405414328161,0.275,3028.725
1.0,0.0,1.0,1.0,2609.0,3449.0,165.0,360.0,0.0,0,0,0,1,0,1,6058.0,0.02723671178606801,0.4583333333333333,6057.541666666667
1.0,1.0,0.0,0.0,4945.0,0.0,128.0,360.0,0.0,0,0,0,1,0,1,4945.0,0.025884732052578362,0.35555555555555557,4944.644444444444
0.0,0.0,0.0,0.0,4166.0,0.0,116.0,360.0,0.0,0,1,0,0,1,0,4166.0,0.02784445511281805,0.32222222222222224,4165.677777777778
1.0,0.0,0.0,0.0,5726.0,4595.0,258.0,360.0,1.0,0,1,0,0,0,1,10321.0,0.024997577754093597,0.7166666666666667,10320.283333333333
0.0,0.0,1.0,0.0,3200.0,2254.0,126.0,360.0,0.0,0,0,1,0,0,1,5454.0,0.0231023102310231,0.35,5453.65
1.0,1.0,0.0,0.0,10171.25,0.0,261.5,360.0,1.0,1,0,1,0,0,1,10171.25,0.025709721027405676,0.7263888888888889,10170.523611111112
1.0,3.0,1.0,1.0,7100.0,0.0,125.0,360.0,1.0,1,0,1,0,0,1,7100.0,0.017605633802816902,0.3472222222222222,7099.652777777777
0.0,0.0,0.0,0.0,4300.0,0.0,136.0,360.0,0.0,0,1,0,0,1,0,4300.0,0.03162790697674418,0.37777777777777777,4299.622222222222
1.0,0.0,0.0,0.0,3208.0,3066.0,172.0,360.0,1.0,1,0,1,0,0,1,6274.0,0.027414727446605038,0.4777777777777778,6273.522222222222
1.0,2.0,1.0,1.0,1875.0,1875.0,97.0,360.0,1.0,1,1,0,0,0,1,3750.0,0.025866666666666666,0.26944444444444443,3749.7305555555554
0.0,0.0,0.0,0.0,3500.0,0.0,81.0,360.0,1.0,1,1,0,0,0,1,3500.0,0.023142857142857142,0.225,3499.775
1.0,3.0,1.0,0.0,4755.0,0.0,95.0,360.0,0.0,0,1,0,0,0,1,4755.0,0.019978969505783387,0.2638888888888889,4754.736111111111
1.0,3.0,0.0,1.0,5266.0,1774.0,187.0,360.0,1.0,1,1,0,0,0,1,7040.0,0.0265625,0.5194444444444445,7039.480555555556
0.0,0.0,0.0,0.0,3750.0,0.0,113.0,360.0,1.0,0,0,1,0,0,1,3750.0,0.030133333333333335,0.3138888888888889,3749.686111111111
0.0,0.0,0.0,0.0,3750.0,4750.0,176.0,360.0,1.0,0,0,1,0,0,1,8500.0,0.020705882352941178,0.4888888888888889,8499.511111111111
1.0,1.0,0.0,1.0,1000.0,3022.0,110.0,360.0,1.0,0,0,1,0,0,1,4022.0,0.02734957732471407,0.3055555555555556,4021.6944444444443
1.0,3.0,0.0,0.0,3167.0,4000.0,180.0,360.0,0.0,0,1,0,0,0,1,7167.0,0.025115110925073254,0.5,7166.5
1.0,3.0,1.0,1.0,3333.0,2166.0,130.0,360.0,1.0,1,1,0,0,0,1,5499.0,0.02364066193853428,0.3611111111111111,5498.638888888889
0.0,0.0,0.0,0.0,3846.0,0.0,111.0,360.0,1.0,1,1,0,0,1,0,3846.0,0.028861154446177848,0.30833333333333335,3845.6916666666666
1.0,1.0,0.0,1.0,2395.0,0.0,128.0,360.0,1.0,1,1,0,0,0,1,2395.0,0.05344467640918581,0.35555555555555557,2394.6444444444446
1.0,2.0,0.0,0.0,1378.0,1881.0,167.0,360.0,1.0,0,0,1,0,1,0,3259.0,0.0512427124884934,0.4638888888888889,3258.536111111111
1.0,0.0,0.0,0.0,6000.0,2250.0,261.5,360.0,1.0,0,1,0,0,0,1,8250.0,0.031696969696969696,0.7263888888888889,8249.273611111112
1.0,1.0,0.0,0.0,3988.0,0.0,50.0,360.0,1.0,1,0,1,0,0,1,3988.0,0.012537612838515547,0.1388888888888889,3987.8611111111113
0.0,0.0,0.0,0.0,2366.0,2531.0,136.0,360.0,1.0,1,1,0,0,0,1,4897.0,0.027772105370635083,0.37777777777777777,4896.622222222222
1.0,2.0,1.0,0.0,3333.0,2000.0,99.0,360.0,1.0,1,1,0,0,0,1,5333.0,0.0185636602287643,0.275,5332.725
1.0,0.0,0.0,0.0,2500.0,2118.0,104.0,360.0,1.0,1,1,0,0,0,1,4618.0,0.02252057167605024,0.28888888888888886,4617.711111111111
0.0,0.0,0.0,0.0,8566.0,0.0,210.0,360.0,1.0,1,0,1,0,0,1,8566.0,0.02451552650011674,0.5833333333333334,8565.416666666666
1.0,0.0,0.0,0.0,5695.0,4167.0,175.0,360.0,1.0,1,1,0,0,0,1,9862.0,0.017744879334820524,0.4861111111111111,9861.513888888889
1.0,0.0,0.0,0.0,2958.0,2900.0,131.0,360.0,1.0,1,1,0,0,0,1,5858.0,0.022362581085694777,0.3638888888888889,5857.636111111111
1.0,2.0,0.0,0.0,6250.0,5654.0,188.0,360.0,1.0,1,1,0,0,0,1,11904.0,0.015793010752688172,0.5222222222222223,11903.477777777778
1.0,2.0,1.0,0.0,3273.0,1820.0,81.0,360.0,1.0,1,0,1,0,0,1,5093.0,0.015904182210877676,0.225,5092.775
0.0,0.0,0.0,0.0,4133.0,0.0,122.0,360.0,1.0,1,1,0,0,0,1,4133.0,0.029518509557222357,0.3388888888888889,4132.6611111111115
0.0,0.0,1.0,0.0,3620.0,0.0,25.0,360.0,1.0,1,1,0,0,0,1,3620.0,0.006906077348066298,0.06944444444444445,3619.9305555555557
0.0,0.0,0.0,0.0,6782.0,0.0,128.0,360.0,1.0,0,0,1,0,0,1,6782.0,0.018873488646416987,0.35555555555555557,6781.644444444444
1.0,0.0,0.0,0.0,2484.0,2302.0,137.0,360.0,1.0,1,1,0,0,1,0,4786.0,0.028625156707062265,0.38055555555555554,4785.6194444444445
1.0,0.0,0.0,0.0,1977.0,997.0,50.0,360.0,1.0,1,1,0,0,0,1,2974.0,0.016812373907195696,0.1388888888888889,2973.8611111111113
1.0,0.0,1.0,0.0,4188.0,0.0,115.0,360.0,1.0,1,1,0,0,0,1,4188.0,0.027459407831900668,0.3194444444444444,4187.680555555556
1.0,0.0,0.0,0.0,1759.0,3541.0,131.0,360.0,1.0,1,1,0,0,0,1,5300.0,0.02471698113207547,0.3638888888888889,5299.636111111111
1.0,2.0,1.0,0.0,4288.0,3263.0,133.0,360.0,1.0,1,0,1,0,0,1,7551.0,0.01761356111773275,0.36944444444444446,7550.6305555555555
0.0,0.0,0.0,0.0,4843.0,3806.0,151.0,360.0,1.0,1,1,0,0,0,1,8649.0,0.017458665741704245,0.41944444444444445,8648.580555555556
1.0,0.0,0.0,0.0,10171.25,0.0,128.0,360.0,1.0,1,0,1,0,0,1,10171.25,0.012584490598500676,0.35555555555555557,10170.894444444444
1.0,0.0,0.0,0.0,4652.0,3583.0,128.0,360.0,1.0,1,1,0,0,0,1,8235.0,0.01554341226472374,0.35555555555555557,8234.644444444444
1.0,0.0,0.0,0.0,3816.0,754.0,160.0,360.0,1.0,1,0,1,0,0,1,4570.0,0.0350109409190372,0.4444444444444444,4569.555555555556
1.0,1.0,0.0,0.0,3052.0,1030.0,100.0,360.0,1.0,1,0,1,0,0,1,4082.0,0.02449779519843214,0.2777777777777778,4081.722222222222
1.0,2.0,0.0,0.0,10171.25,1126.0,225.0,360.0,1.0,1,0,1,0,0,1,11297.25,0.019916351324437365,0.625,11296.625
0.0,0.0,1.0,0.0,7333.0,0.0,120.0,360.0,1.0,0,0,0,1,0,1,7333.0,0.01636438019909996,0.3333333333333333,7332.666666666667
1.0,2.0,0.0,0.0,3800.0,3600.0,216.0,360.0,0.0,0,0,1,0,0,1,7400.0,0.02918918918918919,0.6,7399.4
1.0,3.0,1.0,0.0,2071.0,754.0,94.0,360.0,1.0,1,1,0,0,0,1,2825.0,0.03327433628318584,0.2611111111111111,2824.738888888889
0.0,0.0,0.0,0.0,5316.0,0.0,136.0,360.0,1.0,1,0,1,0,0,1,5316.0,0.025583145221971408,0.37777777777777777,5315.622222222222
1.0,0.0,0.0,0.0,2929.0,2333.0,139.0,360.0,1.0,1,1,0,0,1,0,5262.0,0.026415811478525276,0.3861111111111111,5261.613888888889
1.0,0.0,1.0,0.0,3572.0,4114.0,152.0,360.0,0.0,0,0,0,1,0,1,7686.0,0.019776216497527973,0.4222222222222222,7685.577777777778
0.0,1.0,0.0,1.0,7451.0,0.0,128.0,360.0,1.0,1,1,0,0,1,0,7451.0,0.01717890216078379,0.35555555555555557,7450.644444444444
0.0,0.0,0.0,0.0,5050.0,0.0,118.0,360.0,1.0,1,1,0,0,0,1,5050.0,0.023366336633663366,0.3277777777777778,5049.672222222222
1.0,1.0,0.0,0.0,10171.25,0.0,185.0,360.0,1.0,1,0,0,1,0,1,10171.25,0.01818852156814551,0.5138888888888888,10170.736111111111
1.0,0.0,0.0,0.0,3167.0,2283.0,154.0,360.0,1.0,1,1,0,0,1,0,5450.0,0.028256880733944955,0.42777777777777776,5449.572222222222
1.0,1.0,0.0,0.0,2214.0,1398.0,85.0,360.0,1.0,1,0,1,0,0,1,3612.0,0.02353266888150609,0.2361111111111111,3611.7638888888887
1.0,0.0,0.0,0.0,5568.0,2142.0,175.0,360.0,1.0,0,0,0,1,0,1,7710.0,0.022697795071335927,0.4861111111111111,7709.513888888889
0.0,0.0,0.0,0.0,10171.25,0.0,259.0,360.0,1.0,1,0,1,0,1,0,10171.25,0.02546393019540371,0.7194444444444444,10170.530555555555
1.0,0.0,0.0,0.0,5667.0,2667.0,180.0,360.0,1.0,1,0,0,1,0,1,8334.0,0.02159827213822894,0.5,8333.5
0.0,0.0,0.0,0.0,4166.0,0.0,44.0,360.0,1.0,1,1,0,0,1,0,4166.0,0.01056168987037926,0.12222222222222222,4165.877777777778
0.0,0.0,0.0,0.0,2137.0,5743.125,137.0,360.0,0.0,1,1,0,0,1,0,7880.125,0.017385511016639963,0.38055555555555554,7879.7444444444445
1.0,2.0,0.0,0.0,2957.0,0.0,81.0,360.0,1.0,1,1,0,0,0,1,2957.0,0.027392627663172135,0.225,2956.775
1.0,0.0,1.0,0.0,4300.0,2014.0,194.0,360.0,1.0,1,0,0,1,0,1,6314.0,0.030725372188786824,0.5388888888888889,6313.461111111111
0.0,0.0,0.0,0.0,3692.0,0.0,93.0,360.0,1.0,1,0,0,1,1,0,3692.0,0.025189599133261104,0.25833333333333336,3691.741666666667
1.0,3.0,0.0,0.0,10171.25,0.0,261.5,360.0,1.0,1,0,0,1,0,1,10171.25,0.025709721027405676,0.7263888888888889,10170.523611111112
0.0,0.0,0.0,0.0,3865.0,1640.0,128.0,360.0,1.0,1,0,0,1,0,1,5505.0,0.023251589464123524,0.35555555555555557,5504.644444444444
1.0,1.0,0.0,1.0,10171.25,3850.0,160.0,360.0,0.0,0,0,1,0,0,1,14021.25,0.011411250780065971,0.4444444444444444,14020.805555555555
1.0,0.0,0.0,0.0,6080.0,2569.0,182.0,360.0,1.0,0,0,0,1,0,1,8649.0,0.021042895132385248,0.5055555555555555,8648.494444444445
0.0,0.0,0.0,1.0,10171.25,0.0,261.5,360.0,1.0,1,0,1,0,0,1,10171.25,0.025709721027405676,0.7263888888888889,10170.523611111112
0.0,0.0,0.0,0.0,2014.0,1929.0,74.0,360.0,1.0,1,0,1,0,0,1,3943.0,0.018767435962465127,0.20555555555555555,3942.7944444444443
0.0,0.0,0.0,0.0,2718.0,0.0,70.0,360.0,1.0,1,1,0,0,0,1,2718.0,0.025754231052244298,0.19444444444444445,2717.8055555555557
1.0,0.0,0.0,1.0,3459.0,0.0,25.0,360.0,1.0,1,1,0,0,0,1,3459.0,0.007227522405319456,0.06944444444444445,3458.9305555555557
0.0,0.0,0.0,0.0,4895.0,0.0,102.0,360.0,1.0,1,1,0,0,0,1,4895.0,0.020837589376915218,0.2833333333333333,4894.716666666666
1.0,3.0,0.0,0.0,4000.0,5743.125,261.5,360.0,1.0,0,1,0,0,0,1,9743.125,0.026839438065302458,0.7263888888888889,9742.398611111112
1.0,0.0,0.0,0.0,4583.0,0.0,84.0,360.0,1.0,0,0,0,1,1,0,4583.0,0.0183286057167794,0.23333333333333334,4582.766666666666
1.0,2.0,0.0,1.0,3316.0,3500.0,88.0,360.0,1.0,1,0,1,0,0,1,6816.0,0.012910798122065728,0.24444444444444444,6815.7555555555555
0.0,0.0,0.0,0.0,10171.25,0.0,242.0,360.0,0.0,0,1,0,0,0,1,10171.25,0.02379255253779034,0.6722222222222223,10170.577777777778
1.0,2.0,1.0,0.0,4200.0,1430.0,129.0,360.0,1.0,0,0,0,1,0,1,5630.0,0.022912966252220248,0.35833333333333334,5629.641666666666
1.0,2.0,0.0,0.0,5042.0,2083.0,185.0,360.0,1.0,0,0,0,1,0,1,7125.0,0.025964912280701753,0.5138888888888888,7124.486111111111
0.0,0.0,0.0,0.0,5417.0,0.0,168.0,360.0,1.0,1,0,1,0,0,1,5417.0,0.031013476093778844,0.4666666666666667,5416.533333333334
0.0,0.0,0.0,1.0,6950.0,0.0,175.0,360.0,1.0,1,1,0,0,0,1,6950.0,0.025179856115107913,0.4861111111111111,6949.513888888889
1.0,0.0,0.0,0.0,2698.0,2034.0,122.0,360.0,1.0,1,1,0,0,0,1,4732.0,0.02578191039729501,0.3388888888888889,4731.6611111111115
1.0,2.0,0.0,0.0,10171.25,0.0,187.0,360.0,1.0,1,0,1,0,0,1,10171.25,0.01838515423374708,0.5194444444444445,10170.730555555556
1.0,0.0,0.0,0.0,2330.0,4486.0,100.0,360.0,1.0,1,1,0,0,1,0,6816.0,0.014671361502347418,0.2777777777777778,6815.722222222223
1.0,2.0,0.0,0.0,10171.25,0.0,70.0,360.0,1.0,1,0,1,0,1,0,10171.25,0.0068821432960550575,0.19444444444444445,10171.055555555555
1.0,1.0,0.0,0.0,1538.0,1425.0,30.0,360.0,1.0,1,0,1,0,0,1,2963.0,0.010124873439082012,0.08333333333333333,2962.9166666666665
0.0,0.0,0.0,0.0,10000.0,1666.0,225.0,360.0,1.0,0,0,0,1,1,0,11666.0,0.019286816389507973,0.625,11665.375
1.0,0.0,0.0,0.0,4860.0,830.0,125.0,360.0,1.0,1,1,0,0,0,1,5690.0,0.021968365553602813,0.3472222222222222,5689.652777777777
0.0,0.0,0.0,0.0,6277.0,0.0,118.0,360.0,0.0,0,0,0,1,0,1,6277.0,0.018798789230524134,0.3277777777777778,6276.672222222222
